Recipe_ID,PC1,PC2,Cluster,Cuisine,Main_Ingredients
0,1.3259477269627025,-0.30569569155713705,3,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato"
1,-0.9619252352111667,-0.7172688128647193,1,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic"
2,-0.11687312962666177,-1.0981859134207024,0,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic"
3,0.6582528029817719,-0.5829957214136295,0,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic"
4,0.7281168830665118,1.3353766501943687,2,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic"
5,0.6614874902272048,-1.220295942075126,3,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato"
6,0.42687032152283083,1.187368419927581,2,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic"
7,0.19616980875768458,0.3570516450726857,2,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic"
8,1.173859746479552,-0.41181505570626775,0,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic"
9,0.11675653749804474,-1.9538661016362273,3,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato"
10,0.32349891295323047,2.43039608006599,4,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil"
11,-1.2116589948091054,-1.3983019789893414,1,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic"
12,0.22608642252446898,-0.9431228988270767,2,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic"
13,-1.114515144987013,-0.5402655785255455,2,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic"
14,1.7551989251490674,-0.9807131743995693,3,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato"
15,-0.2716181744759421,-1.5522576865484758,0,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic"
16,0.7695990336559904,1.1444639470414122,2,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic"
17,-2.132207430403481,0.14469770317839648,4,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil"
18,-1.3947618900136747,-0.4876652107892,1,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic"
19,-0.5239651895911809,0.7159575718021969,4,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil"
20,-0.94863982493541,-0.9556063747864856,2,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic"
21,0.39184558313433904,-0.46014082579051196,3,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato"
22,0.10100159703093073,-0.20406638043858846,1,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic"
23,-0.020840492988691638,-0.3469003833782456,0,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic"
24,0.22619504178408387,-0.5344954323685525,3,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato"
25,1.8173264132648554,-0.4486376292060147,3,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato"
26,-0.5379128950617004,-0.6436336541502659,2,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic"
27,-1.3834740972761421,-0.3298514632466837,4,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil"
28,-0.5001760294958568,0.5627121089194468,1,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic"
29,-1.1428711398201319,-0.22592940439518505,4,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil"
30,1.4991220419342783,0.4079914873232422,0,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic"
31,-0.5824098830281559,1.0264731586869043,1,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic"
32,-0.45841774578389066,-0.9079823298374113,3,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato"
33,-0.8713200522139068,-0.10905777320156794,1,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic"
34,0.03693095907369718,0.9090584942788235,0,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic"
35,-0.18837479134956056,2.069316771688616,4,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil"
36,1.181276456359087,0.5776662448499457,0,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic"
37,-0.5278778863994883,0.6077113243531722,4,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil"
